laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000033,BOLSOVER,38426,38402,94.2,28.8,4.2,0.1,0.3,0.7,5.7,1.0,98.6,0.0,0.0,36194,11085,1618,27,106,250,2208,378,37886,0,0,25109,11085,27,79,144,1958,65.3,28.8,0.1,0.2,0.4,5.1
E08000001,BOLTON,133512,133358,98.4,80.8,0.8,0.0,0.1,0.3,1.5,0.5,99.2,4.4,2.5,131354,107853,1041,35,146,411,2004,670,132400,5898,3393,23501,107853,35,111,265,1593,17.6,80.8,0.0,0.1,0.2,1.2
E07000136,BOSTON,33111,32858,90.9,3.6,3.6,0.9,1.9,2.8,8.3,3.6,97.3,2.9,2.9,30110,1192,1192,312,644,929,2748,1189,32227,966,963,28918,1192,312,332,285,1819,87.3,3.6,0.9,1.0,0.9,5.5
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",196375,196070,98.6,75.6,10.0,0.2,0.2,0.3,1.2,0.5,99.3,0.0,0.0,193628,148554,19653,353,404,627,2442,969,194922,0,0,45074,148554,353,51,223,1815,23.0,75.6,0.2,0.0,0.1,0.9
E06000036,BRACKNELL FOREST,53339,53319,95.5,57.3,6.1,0.2,0.3,1.5,4.4,1.6,98.0,0.0,0.0,50953,30582,3246,89,180,776,2366,828,52257,0,0,20371,30582,89,91,596,1590,38.2,57.3,0.2,0.2,1.1,3.0
E08000032,BRADFORD,211546,211085,96.4,75.8,2.1,0.1,0.3,0.6,3.4,0.8,97.8,44.2,16.1,203974,160381,4387,183,629,1219,7111,1796,206925,93601,34078,43593,160381,183,446,590,5892,20.6,75.8,0.1,0.2,0.3,2.8
E07000067,BRAINTREE,70449,70348,89.2,4.9,4.9,0.9,2.2,3.6,10.6,4.0,94.7,0.0,0.0,62851,3457,3420,605,1568,2565,7497,2815,66694,0,0,59394,3457,605,963,997,4932,84.3,4.9,0.9,1.4,1.4,7.0
E07000143,BRECKLAND,65789,65696,88.7,4.5,2.9,0.8,2.3,3.9,11.2,4.2,97.1,0.0,0.0,58360,2959,1908,549,1525,2580,7336,2761,63880,0,0,55401,2959,549,976,1055,4756,84.2,4.5,0.8,1.5,1.6,7.2
E09000005,BRENT,133198,132693,96.7,59.6,15.9,0.0,0.0,0.4,3.0,1.0,96.8,0.0,0.0,128742,79373,21184,5,63,589,3951,1291,128985,0,0,49369,79373,5,58,526,3362,37.1,59.6,0.0,0.0,0.4,2.5
E07000068,BRENTWOOD,35461,35435,94.6,2.6,2.6,0.1,0.2,0.5,5.3,0.6,99.3,0.0,0.0,33548,931,930,37,88,171,1887,211,35197,0,0,32617,931,37,51,83,1716,92.0,2.6,0.1,0.1,0.2,4.8
W06000013,BRIDGEND,66951,66910,96.1,19.9,14.7,0.1,0.2,1.0,3.8,1.1,98.6,29.0,18.2,64343,13354,9840,63,115,644,2567,758,66002,19443,12184,50989,13354,63,52,529,1923,76.2,19.9,0.1,0.1,0.8,2.9
E06000043,BRIGHTON AND HOVE,144959,144747,97.6,78.5,1.6,0.0,0.1,0.5,2.3,0.9,97.8,0.0,0.0,141448,113734,2336,4,73,702,3299,1243,141797,0,0,27714,113734,4,69,629,2597,19.1,78.5,0.0,0.0,0.4,1.8
E06000023,"BRISTOL, CITY OF",214239,213924,95.4,85.9,35.9,0.0,0.1,0.5,4.5,0.8,95.5,0.0,0.0,204367,183965,76810,6,114,1018,9557,1776,204551,0,0,20402,183965,6,108,904,8539,9.5,85.9,0.0,0.1,0.4,4.0
E07000144,BROADLAND,61546,61335,93.0,37.4,6.1,0.3,1.1,2.6,6.6,3.0,97.8,0.0,0.0,57253,23002,3726,206,693,1601,4082,1864,60181,0,0,34251,23002,206,487,908,2481,55.7,37.4,0.3,0.8,1.5,4.0
E09000006,BROMLEY,145930,145898,97.5,85.1,1.1,0.0,0.2,0.5,2.5,0.6,98.4,0.0,0.0,142298,124257,1618,57,347,712,3600,823,143593,0,0,18041,124257,57,290,365,2888,12.4,85.1,0.0,0.2,0.3,2.0
E07000234,BROMSGROVE,44793,44733,94.7,28.4,7.9,0.1,0.8,1.3,5.2,1.5,99.2,1.6,0.0,42423,12700,3523,56,341,600,2310,662,44427,719,13,29723,12700,56,285,259,1710,66.4,28.4,0.1,0.6,0.6,3.8
E07000095,BROXBOURNE,42979,42965,98.7,84.1,0.9,0.1,0.1,0.3,1.3,0.3,99.3,0.0,0.0,42418,36147,391,28,47,108,547,122,42694,0,0,6271,36147,28,19,61,439,14.6,84.1,0.1,0.0,0.1,1.0
E07000172,BROXTOWE,52324,52287,99.1,89.5,0.8,0.0,0.1,0.2,0.9,0.3,99.6,0.0,0.0,51839,46827,432,16,74,106,448,146,52117,0,0,5012,46827,16,58,32,342,9.6,89.5,0.0,0.1,0.1,0.7
E07000117,BURNLEY,45285,45204,98.0,78.4,0.7,0.1,0.1,0.3,1.8,0.5,99.4,45.3,11.2,44367,35521,335,36,47,132,837,213,45011,20523,5083,8846,35521,36,11,85,705,19.5,78.4,0.1,0.0,0.2,1.6
E08000002,BURY,88431,88005,97.1,49.1,14.1,0.0,0.1,0.2,2.4,0.7,99.4,0.1,0.0,85904,43402,12489,12,94,175,2101,601,87881,98,0,42502,43402,12,82,81,1926,48.1,49.1,0.0,0.1,0.1,2.2
W06000018,CAERPHILLY,82826,82798,97.2,11.9,7.3,0.0,0.1,0.3,2.7,0.3,99.8,32.1,23.7,80536,9855,6057,41,110,238,2262,279,82641,26622,19625,70681,9855,41,69,128,2024,85.3,11.9,0.0,0.1,0.2,2.4
E08000033,CALDERDALE,103667,103599,94.9,43.1,5.9,0.1,0.4,0.8,5.1,0.9,98.8,0.0,0.0,98359,44660,6131,94,374,815,5240,927,102471,26,25,53699,44660,94,280,441,4425,51.8,43.1,0.1,0.3,0.4,4.3
E07000008,CAMBRIDGE,60620,60527,98.2,85.3,10.7,0.0,0.0,0.3,1.6,0.6,98.3,0.4,0.0,59531,51691,6475,0,19,199,996,375,59613,269,0,7840,51691,0,19,180,797,12.9,85.3,0.0,0.0,0.3,1.3
E09000007,CAMDEN,121019,120326,95.4,85.8,13.6,0.0,0.0,0.0,4.1,0.6,95.4,0.0,0.0,115422,103871,16508,0,0,43,4904,765,115423,0,0,11551,103871,0,0,43,4861,9.5,85.8,0.0,0.0,0.0,4.0
E07000192,CANNOCK CHASE,47126,47104,97.2,22.4,0.8,0.0,0.1,0.1,2.7,0.6,99.2,0.0,0.0,45827,10536,389,9,31,39,1277,278,46747,0,0,35291,10536,9,22,8,1238,74.9,22.4,0.0,0.0,0.0,2.6
E07000106,CANTERBURY,74670,74474,93.4,2.9,2.9,0.2,0.6,1.2,6.3,1.5,99.2,0.0,0.0,69776,2131,2131,177,465,920,4698,1120,74103,0,0,67645,2131,177,288,455,3778,90.6,2.9,0.2,0.4,0.6,5.1
W06000015,CARDIFF,167446,166840,97.0,79.8,35.5,0.0,0.1,0.5,2.6,1.1,97.6,54.0,25.9,162486,133560,59526,27,233,835,4354,1767,163461,90361,43391,28926,133560,27,206,602,3519,17.3,79.8,0.0,0.1,0.4,2.1
E07000028,CARLISLE,56744,56648,93.4,46.1,3.4,0.8,1.7,3.2,6.4,3.8,97.2,0.1,0.1,53009,26148,1936,456,983,1835,3639,2171,55128,36,36,26861,26148,456,527,852,1804,47.3,46.1,0.8,0.9,1.5,3.2
W06000010,CARMARTHENSHIRE,92682,92201,86.1,15.6,16.1,2.0,4.4,7.0,13.4,8.0,93.2,12.3,8.1,79764,14492,14937,1818,4112,6530,12437,7393,86414,11359,7484,65272,14492,1818,2294,2418,5907,70.4,15.6,2.0,2.5,2.6,6.4
E07000069,CASTLE POINT,40947,40812,98.8,43.5,2.1,0.0,0.1,0.2,0.9,0.6,99.4,0.0,0.0,40441,17829,858,4,56,97,371,232,40692,0,0,22612,17829,4,52,41,274,55.2,43.5,0.0,0.1,0.1,0.7
N09000004,CAUSEWAY COAST AND GLENS,66130,64742,85.0,21.3,21.3,2.3,4.4,6.2,12.9,8.3,97.2,0.0,0.0,56235,14087,14083,1529,2915,4095,8507,5509,64301,0,0,42148,14087,1529,1386,1180,4412,63.7,21.3,2.3,2.1,1.8,6.7
E06000056,CENTRAL BEDFORDSHIRE,125642,125587,96.3,62.3,8.0,0.1,0.7,1.2,3.7,1.4,98.7,0.0,0.0,120938,78257,10024,121,886,1567,4649,1743,124029,0,0,42681,78257,121,765,681,3082,34.0,62.3,0.1,0.6,0.5,2.5
W06000008,CEREDIGION,37507,37283,79.0,17.8,17.8,3.2,7.4,12.3,20.4,13.7,88.5,3.3,2.6,29637,6684,6685,1187,2785,4621,7646,5132,33190,1232,987,22953,6684,1187,1598,1836,3025,61.2,17.8,3.2,4.3,4.9,8.1
E07000130,CHARNWOOD,78208,77959,97.9,70.9,9.3,0.1,0.2,0.5,1.8,0.9,99.1,0.0,0.0,76585,55462,7258,75,179,382,1374,688,77469,0,0,21123,55462,75,104,203,992,27.0,70.9,0.1,0.1,0.3,1.3
E07000070,CHELMSFORD,81759,81727,94.0,46.4,6.1,0.1,0.5,1.1,6.0,1.2,98.2,0.0,0.0,76843,37938,5023,111,416,890,4884,963,80297,0,0,38905,37938,111,305,474,3994,47.6,46.4,0.1,0.4,0.6,4.9
E07000078,CHELTENHAM,60022,59979,98.3,69.4,5.3,0.0,0.1,0.2,1.6,0.3,99.2,0.0,0.0,59014,41684,3190,9,47,122,965,170,59552,0,0,17330,41684,9,38,75,843,28.9,69.4,0.0,0.1,0.1,1.4
E07000177,CHERWELL,70338,70243,95.3,37.4,9.4,0.2,0.4,1.1,4.5,1.3,97.8,0.0,0.0,67061,26316,6594,156,296,746,3182,890,68825,0,0,40745,26316,156,140,450,2436,57.9,37.4,0.2,0.2,0.6,3.5
E06000049,CHESHIRE EAST,188897,188709,92.8,33.4,4.2,0.3,0.9,1.9,7.1,2.1,98.1,5.2,0.6,175278,63087,7944,653,1730,3596,13431,3933,185266,9912,1192,112191,63087,653,1077,1866,9835,59.4,33.4,0.3,0.6,1.0,5.2
E06000050,CHESHIRE WEST AND CHESTER,169587,169441,94.6,26.8,8.4,0.2,0.7,1.3,5.3,1.4,98.7,5.9,0.0,160504,45414,14242,270,1114,2158,8937,2375,167406,9985,0,115090,45414,270,844,1044,6779,67.9,26.8,0.2,0.5,0.6,4.0
E07000034,CHESTERFIELD,53130,53092,96.7,36.7,8.1,0.0,0.1,0.5,3.2,0.6,99.1,0.0,0.0,51391,19508,4318,14,31,256,1701,298,52677,0,0,31883,19508,14,17,225,1445,60.0,36.7,0.0,0.0,0.4,2.7
E07000225,CHICHESTER,61797,61558,91.1,19.8,18.2,0.5,1.2,2.4,8.5,2.8,98.6,0.0,0.0,56302,12211,11250,331,726,1480,5256,1745,60908,0,0,44091,12211,331,395,754,3776,71.3,19.8,0.5,0.6,1.2,6.1
E07000005,CHILTERN,42631,42624,93.1,43.7,1.1,0.0,0.2,2.2,6.9,2.3,99.6,0.0,0.0,39687,18648,472,21,89,944,2937,970,42472,0,0,21039,18648,21,68,855,1993,49.4,43.7,0.0,0.2,2.0,4.7
E07000118,CHORLEY,54280,54225,94.8,51.1,7.1,0.1,1.0,1.6,5.1,1.7,98.4,43.1,22.3,51471,27725,3830,32,565,858,2754,917,53388,23384,12127,23746,27725,32,533,293,1896,43.7,51.1,0.1,1.0,0.5,3.5
S12000036,CITY OF EDINBURGH,264352,264326,97.3,82.8,26.9,0.0,0.2,0.4,2.6,0.7,97.8,0.0,0.0,257341,218944,71110,111,443,936,6985,1857,258443,0,0,38397,218944,111,332,493,6049,14.5,82.8,0.0,0.1,0.2,2.3
E09000001,CITY OF LONDON,11051,11032,53.4,23.6,23.1,0.0,0.0,0.0,46.4,0.2,53.4,0.0,0.0,5902,2605,2548,0,0,1,5130,20,5902,0,0,3297,2605,0,0,1,5129,29.8,23.6,0.0,0.0,0.0,46.4
S12000005,CLACKMANNANSHIRE,25640,25544,94.4,6.2,0.8,0.1,0.2,0.4,5.3,0.7,99.4,0.0,0.0,24192,1579,213,27,44,95,1352,192,25491,0,0,22613,1579,27,17,51,1257,88.2,6.2,0.1,0.1,0.2,4.9
E07000071,COLCHESTER,87600,87092,92.4,50.8,5.8,0.7,1.8,3.1,7.0,4.0,95.5,0.0,0.0,80986,44500,5105,573,1537,2702,6106,3540,83652,0,0,36486,44500,573,964,1165,3404,41.7,50.8,0.7,1.1,1.3,3.9
W06000003,CONWY,59236,59187,93.1,4.5,4.5,0.7,2.1,3.3,6.8,3.7,97.2,50.5,35.9,55137,2671,2671,423,1220,1979,4050,2180,57581,29915,21254,52466,2671,423,797,759,2071,88.6,4.5,0.7,1.3,1.3,3.5
E07000029,COPELAND,35518,35461,94.9,1.4,1.4,0.3,0.7,1.6,4.9,1.7,99.1,0.0,0.0,33714,511,511,98,264,553,1747,611,35202,0,0,33203,511,98,166,289,1194,93.5,1.4,0.3,0.5,0.8,3.4
E07000150,CORBY,32384,32301,98.2,57.8,14.6,0.1,0.4,0.5,1.6,0.7,98.8,0.0,0.0,31785,18727,4734,30,120,146,516,230,31981,0,0,13058,18727,30,90,26,370,40.3,57.8,0.1,0.3,0.1,1.1
E06000052,CORNWALL,297959,296872,89.2,34.9,31.9,0.3,1.2,2.5,10.5,3.2,94.5,3.4,1.3,265645,103872,95007,1028,3477,7378,31227,9672,281549,10244,3981,161773,103872,1028,2449,3901,23849,54.3,34.9,0.3,0.8,1.3,8.0
E07000079,COTSWOLD,46835,46789,90.7,31.6,31.5,0.2,0.9,2.4,9.2,2.9,93.3,0.1,0.1,42489,14820,14771,108,426,1130,4300,1381,43710,50,50,27669,14820,108,318,704,3170,59.1,31.6,0.2,0.7,1.5,6.8
E06000047,COUNTY DURHAM,258634,258408,93.5,11.6,7.8,0.3,0.8,1.5,6.4,1.8,98.7,0.2,0.0,241901,29995,20102,850,2045,3886,16507,4703,255263,636,78,211906,29995,850,1195,1841,12621,81.9,11.6,0.3,0.5,0.7,4.9
E08000026,COVENTRY,149589,149145,95.9,80.4,45.3,0.0,0.4,0.9,3.8,1.6,96.3,0.0,0.0,143449,120283,67802,11,631,1372,5696,2322,144126,0,0,23166,120283,11,620,741,4324,15.5,80.4,0.0,0.4,0.5,2.9
E07000163,CRAVEN,29891,29808,91.5,14.4,9.4,1.2,2.4,3.8,8.2,4.1,97.2,37.1,24.1,27344,4315,2810,369,706,1134,2464,1234,29041,11096,7197,23029,4315,369,337,428,1330,77.0,14.4,1.2,1.1,1.4,4.4
E07000226,CRAWLEY,48650,48635,99.0,84.2,2.4,0.0,0.1,0.3,0.9,0.3,99.8,0.0,0.0,48177,40943,1156,4,26,126,458,142,48529,0,0,7234,40943,4,22,100,332,14.9,84.2,0.0,0.0,0.2,0.7
E09000008,CROYDON,166786,166664,96.0,75.7,14.9,0.0,0.0,0.3,4.0,0.5,96.5,0.0,0.0,160073,126232,24845,1,55,442,6591,909,161015,0,0,33841,126232,1,54,387,6149,20.3,75.7,0.0,0.0,0.2,3.7
E07000096,DACORUM,68410,68361,95.9,72.2,3.8,0.1,0.5,1.1,4.0,1.2,98.8,0.0,0.0,65636,49366,2583,70,343,726,2725,832,67606,0,0,16270,49366,70,273,383,1999,23.8,72.2,0.1,0.4,0.6,2.9
E06000005,DARLINGTON,54165,54116,93.3,82.2,1.6,0.6,2.2,3.5,6.7,3.6,94.8,18.3,3.9,50509,44510,856,335,1192,1874,3607,1977,51349,9934,2091,5999,44510,335,857,682,1733,11.1,82.2,0.6,1.6,1.3,3.2
E07000107,DARTFORD,48938,48918,95.6,49.0,12.0,0.2,0.6,1.5,4.4,1.9,97.7,0.0,0.0,46784,23982,5897,106,299,731,2134,928,47819,0,0,22802,23982,106,193,432,1403,46.6,49.0,0.2,0.4,0.9,2.9
E07000151,DAVENTRY,37950,37924,93.7,26.3,21.3,0.5,1.4,2.4,6.2,2.7,97.5,0.0,0.0,35555,9980,8071,188,523,919,2369,1019,37019,0,0,25575,9980,188,335,396,1450,67.4,26.3,0.5,0.9,1.0,3.8
W06000004,DENBIGHSHIRE,49317,49143,90.0,5.4,5.4,0.8,1.9,4.2,9.6,4.9,94.7,47.7,2.7,44395,2667,2667,387,930,2086,4748,2441,46709,23510,1310,41728,2667,387,543,1156,2662,84.6,5.4,0.8,1.1,2.3,5.4
E06000015,DERBY,118258,118141,99.2,87.8,4.7,0.0,0.0,0.1,0.7,0.2,99.4,0.0,0.0,117255,103782,5524,1,17,144,886,286,117558,0,0,13473,103782,1,16,127,742,11.4,87.8,0.0,0.0,0.1,0.6
E07000035,DERBYSHIRE DALES,37123,37044,87.4,6.4,6.4,0.6,2.4,5.1,12.4,5.7,95.7,0.0,0.0,32446,2394,2394,220,876,1876,4598,2104,35539,0,0,30052,2394,220,656,1000,2722,81.0,6.4,0.6,1.8,2.7,7.3
N09000005,DERRY CITY AND STRABANE,62612,62399,90.7,70.6,49.0,2.1,3.6,4.8,8.9,5.2,98.7,0.0,0.0,56816,44216,30706,1333,2262,3032,5583,3271,61807,0,0,12600,44216,1333,929,770,2551,20.1,70.6,2.1,1.5,1.2,4.1
E08000017,DONCASTER,145903,145805,96.8,45.5,9.2,0.1,0.4,0.7,3.1,0.9,98.7,14.7,13.9,141237,66316,13447,117,577,1086,4568,1334,143998,21406,20330,74921,66316,117,460,509,3482,51.3,45.5,0.1,0.3,0.3,2.4
