laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,125621,125416,93.9,30.0,22.1,0.0,0.2,0.7,5.9,1.0,96.8,0.0,0.0,117966,37638,27823,53,223,896,7450,1197,121662,0,0,80328,37638,53,170,673,6554,63.9,30.0,0.0,0.1,0.5,5.2
S12000034,ABERDEENSHIRE,125388,124596,82.0,3.2,3.1,2.5,5.7,9.6,17.4,10.7,93.9,0.0,0.0,102794,4022,3889,3098,7120,12067,21802,13392,117748,0,0,98772,4022,3098,4022,4947,9735,78.8,3.2,2.5,3.2,3.9,7.8
E07000223,ADUR,29784,29771,99.1,81.7,0.6,0.0,0.0,0.1,0.9,0.1,99.5,0.0,0.0,29507,24319,186,0,11,28,264,43,29630,0,0,5188,24319,0,11,17,236,17.4,81.7,0.0,0.0,0.1,0.8
E07000026,ALLERDALE,51493,51378,92.1,2.3,2.3,1.2,2.4,3.4,7.7,3.7,98.7,2.3,2.2,47422,1174,1174,597,1231,1749,3956,1920,50822,1162,1112,46248,1174,597,634,518,2207,89.8,2.3,1.2,1.2,1.0,4.3
E07000032,AMBER VALLEY,60882,60755,93.3,25.5,22.3,0.1,0.9,2.0,6.5,2.3,98.1,0.0,0.0,56818,15536,13557,91,577,1231,3937,1406,59716,0,0,41282,15536,91,486,654,2706,67.8,25.5,0.1,0.8,1.1,4.4
S12000041,ANGUS,60681,60276,86.9,13.7,1.5,1.4,3.7,6.9,12.4,7.8,95.2,0.0,0.0,52749,8304,896,853,2257,4202,7527,4758,57789,0,0,44445,8304,853,1404,1945,3325,73.2,13.7,1.4,2.3,3.2,5.5
N09000001,ANTRIM AND NEWTOWNABBEY,61036,60499,91.2,55.9,31.3,1.7,3.0,3.8,8.0,4.7,98.3,0.0,0.0,55643,34113,19128,1041,1818,2331,4856,2871,60026,0,0,21530,34113,1041,777,513,2525,35.3,55.9,1.7,1.3,0.8,4.1
N09000011,ARDS AND NORTH DOWN,72718,72510,94.6,61.5,57.1,0.5,1.1,2.2,5.1,2.5,99.5,0.0,0.0,68773,44736,41498,393,823,1579,3737,1798,72371,0,0,24037,44736,393,430,756,2158,33.1,61.5,0.5,0.6,1.0,3.0
S12000035,ARGYLL AND BUTE,56278,54856,77.3,1.1,1.1,3.2,6.1,10.9,20.2,13.9,87.9,0.0,0.0,43498,603,602,1827,3448,6123,11358,7840,49495,0,0,42895,603,1827,1621,2675,5235,76.2,1.1,3.2,2.9,4.8,9.3
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",86219,85759,88.0,42.2,42.2,1.5,3.2,4.9,11.4,5.5,98.3,0.0,0.0,75893,36376,36377,1314,2717,4247,9866,4774,84746,1,0,39517,36376,1314,1403,1530,5619,45.8,42.2,1.5,1.6,1.8,6.5
E07000224,ARUN,78566,78539,96.8,6.0,3.3,0.1,0.2,0.3,3.1,0.4,99.7,0.0,0.0,76083,4741,2608,77,127,269,2456,344,78329,0,0,71342,4741,77,50,142,2187,90.8,6.0,0.1,0.1,0.2,2.8
E07000170,ASHFIELD,59072,59033,98.5,85.3,1.5,0.0,0.4,0.4,1.4,0.5,99.2,0.0,0.0,58186,50396,863,9,208,250,847,291,58578,0,0,7790,50396,9,199,42,597,13.2,85.3,0.0,0.3,0.1,1.0
E07000105,ASHFORD,58131,58054,90.1,44.0,6.0,0.4,1.8,3.8,9.8,4.0,98.4,0.0,0.0,52354,25598,3477,214,1029,2185,5700,2333,57204,0,0,26756,25598,214,815,1156,3515,46.0,44.0,0.4,1.4,2.0,6.0
E07000004,AYLESBURY VALE,88030,87888,92.3,45.6,12.2,0.5,1.7,3.0,7.5,3.3,96.4,0.0,0.0,81246,40128,10728,411,1453,2605,6642,2865,84857,0,0,41118,40128,411,1042,1152,4037,46.7,45.6,0.5,1.2,1.3,4.6
E07000200,BABERGH,43082,42997,93.0,10.8,6.7,0.5,1.1,1.8,6.8,2.0,98.8,0.0,0.0,40083,4659,2896,224,482,769,2914,873,42564,0,0,35424,4659,224,258,287,2145,82.2,10.8,0.5,0.6,0.7,5.0
E09000002,BARKING AND DAGENHAM,80447,80428,98.9,90.5,50.9,0.0,0.3,0.4,1.0,0.5,99.0,0.0,0.0,79600,72802,40937,18,231,360,828,412,79605,0,0,6798,72802,18,213,129,468,8.5,90.5,0.0,0.3,0.2,0.6
E09000003,BARNET,158504,158437,97.3,53.3,20.4,0.0,0.0,0.1,2.6,0.3,98.3,0.0,0.0,154266,84557,32356,0,15,115,4171,478,155764,0,0,69709,84557,0,15,100,4056,44.0,53.3,0.0,0.0,0.1,2.6
E08000016,BARNSLEY,117029,116965,98.0,61.6,19.9,0.1,0.3,0.4,2.0,0.5,99.3,0.0,0.0,114676,72122,23266,118,300,473,2289,600,116171,0,0,42554,72122,118,182,173,1816,36.4,61.6,0.1,0.2,0.1,1.6
E07000027,BARROW-IN-FURNESS,35464,35437,98.6,0.7,0.7,0.2,0.2,0.4,1.3,0.5,99.9,0.1,0.1,34962,259,259,54,82,148,475,177,35427,35,35,34703,259,54,28,66,327,97.9,0.7,0.2,0.1,0.2,0.9
E07000066,BASILDON,83565,83445,96.7,69.5,13.3,0.0,0.2,0.5,3.1,0.8,99.1,0.0,0.0,80833,58041,11098,10,196,421,2612,631,82853,0,0,22792,58041,10,186,225,2191,27.3,69.5,0.0,0.2,0.3,2.6
E07000084,BASINGSTOKE AND DEANE,80648,80607,95.4,50.8,17.7,0.3,0.9,1.6,4.6,1.8,98.7,0.0,0.0,76898,40954,14294,267,704,1276,3709,1413,79563,0,0,35944,40954,267,437,572,2433,44.6,50.8,0.3,0.5,0.7,3.0
E07000171,BASSETLAW,56221,56094,95.9,28.0,5.0,0.4,0.8,1.2,3.9,1.5,99.2,6.8,5.0,53889,15740,2804,238,453,685,2205,838,55778,3829,2809,38149,15740,238,215,232,1520,67.9,28.0,0.4,0.4,0.4,2.7
E06000022,BATH AND NORTH EAST SOMERSET,88542,88424,89.9,50.9,19.7,0.2,0.6,1.9,10.0,2.4,94.2,0.0,0.0,79579,45025,17401,219,544,1642,8845,2137,83413,0,0,34554,45025,219,325,1098,7203,39.0,50.9,0.2,0.4,1.2,8.1
E06000055,BEDFORD,80774,80734,96.5,70.2,8.9,0.1,0.5,0.9,3.5,1.2,98.9,0.0,0.0,77907,56668,7169,113,380,706,2827,929,79849,0,0,21239,56668,113,267,326,2121,26.3,70.2,0.1,0.3,0.4,2.6
N09000003,BELFAST,167050,166354,97.4,89.7,62.6,0.0,0.0,0.4,2.2,1.0,97.7,0.0,0.0,162752,149924,104551,20,83,670,3602,1728,163169,0,0,12828,149924,20,63,587,2932,7.7,89.7,0.0,0.0,0.4,1.8
E09000004,BEXLEY,103275,103209,96.6,75.4,14.4,0.0,0.1,1.1,3.4,1.7,97.2,0.0,0.0,99719,77900,14843,27,143,1139,3490,1806,100350,0,0,21819,77900,27,116,996,2351,21.1,75.4,0.0,0.1,1.0,2.3
E08000025,BIRMINGHAM,471246,470622,95.2,83.4,24.5,0.0,0.1,0.9,4.7,1.3,95.2,0.0,0.0,448471,393237,115611,53,515,4081,22151,6059,448603,0,0,55234,393237,53,462,3566,18070,11.7,83.4,0.0,0.1,0.8,3.8
E07000129,BLABY,45248,45222,97.8,67.8,33.6,0.1,0.3,0.4,2.1,0.6,98.9,0.0,0.0,44253,30693,15199,38,123,178,969,266,44734,0,0,13560,30693,38,85,55,791,30.0,67.8,0.1,0.2,0.1,1.7
E06000008,BLACKBURN WITH DARWEN,67086,67028,97.6,63.1,6.3,0.0,0.2,0.5,2.3,0.6,99.1,46.6,22.7,65476,42319,4254,24,165,345,1552,415,66502,31281,15230,23157,42319,24,141,180,1207,34.5,63.1,0.0,0.2,0.3,1.8
E06000009,BLACKPOOL,76501,76439,99.0,66.7,0.3,0.0,0.0,0.0,0.9,0.1,99.1,0.0,0.0,75714,51018,249,0,10,29,725,92,75783,0,0,24696,51018,0,10,19,696,32.3,66.7,0.0,0.0,0.0,0.9
W06000019,BLAENAU GWENT,35198,35143,97.2,1.7,1.6,0.0,0.2,0.7,2.7,0.8,99.4,0.0,0.0,34196,590,547,15,67,235,947,290,34981,14,0,33606,590,15,52,168,712,95.5,1.7,0.0,0.1,0.5,2.0
