Area,Year,Region,SFBB,UFBB,Income
CHESHIRE EAST,2016,North West,88.0,1.0,28754.0
CHESHIRE WEST AND CHESTER,2016,North West,87.0,2.0,28819.0
CHORLEY,2016,North West,92.0,1.0,27486.0
COPELAND,2016,North West,83.0,0.0,38620.0
EDEN,2016,North West,71.0,0.0,24257.0
FYLDE,2016,North West,88.0,0.0,26983.0
HALTON,2016,North West,96.0,0.0,25250.0
HYNDBURN,2016,North West,96.0,0.0,23549.0
KNOWSLEY,2016,North West,96.0,0.0,25135.0
LIVERPOOL,2016,North West,93.0,2.0,25953.0
MANCHESTER,2016,North West,88.0,2.0,24185.0
OLDHAM,2016,North West,97.0,0.0,24051.0
PRESTON,2016,North West,93.0,1.0,24680.0
ROCHDALE,2016,North West,97.0,0.0,24421.0
ROSSENDALE,2016,North West,92.0,0.0,24041.0
SALFORD,2016,North West,90.0,3.0,25288.0
SEFTON,2016,North West,97.0,0.0,25517.0
SOUTH RIBBLE,2016,North West,95.0,0.0,26884.0
ST. HELENS,2016,North West,90.0,0.0,26008.0
STOCKPORT,2016,North West,98.0,0.0,28171.0
TAMESIDE,2016,North West,96.0,0.0,23419.0
TRAFFORD,2016,North West,96.0,0.0,34069.0
WARRINGTON,2016,North West,95.0,0.0,27856.0
WEST LANCASHIRE,2016,North West,83.0,0.0,27798.0
WIGAN,2016,North West,97.0,0.0,27094.0
WIRRAL,2016,North West,95.0,0.0,28183.0
ABERDEEN CITY,2016,Scotland,89.0,0.0,29350.0
ABERDEENSHIRE,2016,Scotland,69.0,0.0,29887.0
ANGUS,2016,Scotland,73.0,0.0,27505.0
ARGYLL AND BUTE,2016,Scotland,54.0,0.0,25592.0
CITY OF EDINBURGH,2016,Scotland,89.0,0.0,29426.0
DUMFRIES AND GALLOWAY,2016,Scotland,70.0,0.0,24414.0
DUNDEE CITY,2016,Scotland,97.0,0.0,24800.0
EAST AYRSHIRE,2016,Scotland,86.0,0.0,28786.0
EAST DUNBARTONSHIRE,2016,Scotland,89.0,0.0,33356.0
EAST LOTHIAN,2016,Scotland,76.0,0.0,29737.0
EAST RENFREWSHIRE,2016,Scotland,88.0,0.0,35410.0
FALKIRK,2016,Scotland,90.0,0.0,28248.0
FIFE,2016,Scotland,88.0,0.0,27584.0
GLASGOW CITY,2016,Scotland,89.0,2.0,26860.0
HIGHLAND,2016,Scotland,64.0,0.0,27918.0
INVERCLYDE,2016,Scotland,87.0,0.0,27955.0
MIDLOTHIAN,2016,Scotland,76.0,0.0,27501.0
MORAY,2016,Scotland,76.0,0.0,24519.0
NORTH AYRSHIRE,2016,Scotland,80.0,0.0,27282.0
NORTH LANARKSHIRE,2016,Scotland,93.0,0.0,26922.0
ORKNEY ISLANDS,2016,Scotland,47.0,0.0,29306.0
PERTH AND KINROSS,2016,Scotland,66.0,0.0,27667.0
RENFREWSHIRE,2016,Scotland,88.0,0.0,28930.0
SCOTTISH BORDERS,2016,Scotland,69.0,0.0,25733.0
SHETLAND ISLANDS,2016,Scotland,54.0,0.0,31992.0
SOUTH AYRSHIRE,2016,Scotland,82.0,0.0,28907.0
SOUTH LANARKSHIRE,2016,Scotland,89.0,0.0,27993.0
WEST DUNBARTONSHIRE,2016,Scotland,96.0,0.0,26664.0
WEST LOTHIAN,2016,Scotland,81.0,0.0,26124.0
ARUN,2016,South East,94.0,0.0,26109.0
ASHFORD,2016,South East,83.0,0.0,27751.0
BASINGSTOKE AND DEANE,2016,South East,84.0,2.0,33485.0
BRACKNELL FOREST,2016,South East,94.0,0.0,30968.0
BRIGHTON AND HOVE,2016,South East,96.0,1.0,30348.0
CANTERBURY,2016,South East,91.0,0.0,28517.0
CHICHESTER,2016,South East,83.0,1.0,30244.0
CRAWLEY,2016,South East,98.0,1.0,29626.0
DOVER,2016,South East,89.0,0.0,25126.0
EAST HAMPSHIRE,2016,South East,81.0,0.0,32054.0
EASTBOURNE,2016,South East,98.0,0.0,25224.0
EASTLEIGH,2016,South East,93.0,0.0,29658.0
ELMBRIDGE,2016,South East,96.0,1.0,37997.0
