laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000222,WARWICK,68313,68266,25.5,71.2,7.4,0.2,0.9,1.3,3.1,0.1,98.8,2,0.6,66121,48668,5053,104,614,903,2145,78,67520,1334,419,17453,48668,104,510,289,1242,25.5,71.2,0.2,0.7,0.4,1.8
E07000103,WATFORD,42002,41977,17.1,82.2,1.5,0,0,0.2,0.7,0.1,99.4,0,0,41695,34529,612,1,13,75,282,24,41732,0,0,7166,34529,1,12,62,207,17.1,82.2,0,0,0.1,0.5
E07000216,WAVERLEY,55890,55861,80.8,12.4,4.3,0.1,0.4,0.8,6.7,0.4,99.6,0,0,52105,6955,2431,67,234,436,3756,219,55685,0,0,45150,6955,67,167,202,3320,80.8,12.4,0.1,0.3,0.4,5.9
E07000065,WEALDEN,73086,73050,87,6,6,0.2,0.8,1.5,7,0.5,99.5,0,0,67968,4383,4382,166,554,1080,5082,393,72747,0,0,63585,4383,166,388,526,4002,87,6,0.2,0.5,0.7,5.5
E07000156,WELLINGBOROUGH,37633,37612,60.8,36.7,3.5,0,0.5,0.9,2.5,0.1,99,14.2,14,36689,13826,1335,17,175,355,923,52,37262,5339,5264,22863,13826,17,158,180,568,60.8,36.7,0,0.4,0.5,1.5
E07000241,WELWYN HATFIELD,49648,49642,26.6,70.1,3.5,0,0.1,0.6,3.3,0,99.2,0,0,48020,34796,1754,8,46,289,1622,24,49254,0,0,13224,34796,8,38,243,1333,26.6,70.1,0,0.1,0.5,2.7
E06000037,WEST BERKSHIRE,72116,71954,35.1,60.4,24.8,0.1,0.4,1,4.3,0.5,97.3,0,0,68886,43583,17914,58,321,732,3068,370,70197,0,0,25303,43583,58,263,411,2336,35.1,60.4,0.1,0.4,0.6,3.2
E07000047,WEST DEVON,26870,26820,75.9,1.2,1.2,1.8,6.1,11.8,22.8,2.9,95.2,41.3,18.9,20700,317,317,490,1648,3176,6120,783,25593,11092,5078,20383,317,490,1158,1528,2944,75.9,1.2,1.8,4.3,5.7,11
S12000039,WEST DUNBARTONSHIRE,46981,46973,10.1,88.2,0.4,0,0.2,0.5,1.6,0,99,0,0,46214,41459,199,19,97,226,759,20,46531,0,0,4755,41459,19,78,129,533,10.1,88.2,0,0.2,0.3,1.1
E07000127,WEST LANCASHIRE,51238,51218,73.6,20,13.8,0.3,0.9,1.8,6.4,0.1,98.5,17.4,5.8,47958,10266,7058,137,447,936,3260,59,50467,8901,2962,37692,10266,137,310,489,2324,73.6,20,0.3,0.6,1,4.5
E07000142,WEST LINDSEY,45569,45442,59.6,25.3,13,1.9,4.5,7.3,14.8,1.3,97,26.5,19.1,38678,11539,5918,868,2070,3305,6764,598,44223,12063,8692,27139,11539,868,1202,1235,3459,59.6,25.3,1.9,2.6,2.7,7.6
S12000040,WEST LOTHIAN,85027,85012,42.7,53.3,9,0.2,0.4,0.8,4,0.2,98.8,0,0,81612,45341,7687,131,353,686,3400,132,84021,0,0,36271,45341,131,222,333,2714,42.7,53.3,0.2,0.3,0.4,3.2
E07000181,WEST OXFORDSHIRE,51010,50989,46.7,48.6,16.7,0.1,0.6,1.8,4.6,0.6,97.9,0,0,48618,24813,8526,67,330,920,2371,297,49940,0,0,23805,24813,67,263,590,1451,46.7,48.6,0.1,0.5,1.2,2.8
E07000245,WEST SUFFOLK,83678,83644,77.6,16.6,2.9,0.2,0.6,1,5.8,0.3,99,0.1,0,78824,13927,2414,165,495,865,4820,281,82839,119,0,64897,13927,165,330,370,3955,77.6,16.6,0.2,0.4,0.4,4.7
E09000033,WESTMINSTER,163436,163221,45.7,38.3,31.8,0,0,0,15.9,0.1,84,0,0,137198,62553,51993,0,0,49,26023,166,137221,0,0,74645,62553,0,0,49,25974,45.7,38.3,0,0,0,15.9
E08000010,WIGAN,152305,152291,28.5,69.9,0.9,0,0.1,0.3,1.6,0,99.6,15.2,0.8,149877,106477,1435,33,191,448,2414,43,151657,23165,1169,43400,106477,33,158,257,1966,28.5,69.9,0,0.1,0.2,1.3
E06000054,WILTSHIRE,230602,230478,57,35.7,7.2,0.3,1,2.1,7.3,0.5,98.4,1,1,213721,82350,16496,757,2215,4763,16757,1138,226808,2325,2325,131371,82350,757,1458,2548,11994,57,35.7,0.3,0.6,1.1,5.2
E07000094,WINCHESTER,56179,56136,49.6,40.6,5.3,0.5,1.5,3,9.7,0.7,97.1,0,0,50684,22810,2994,287,864,1689,5452,387,54553,0,0,27874,22810,287,577,825,3763,49.6,40.6,0.5,1,1.5,6.7
E06000040,WINDSOR AND MAIDENHEAD,66643,66603,37.3,55.6,3.4,0.2,0.4,1.1,7,0.2,97.4,0,0,61925,37086,2264,103,282,735,4678,126,64917,0,0,24839,37086,103,179,453,3943,37.3,55.6,0.2,0.3,0.7,5.9
E08000015,WIRRAL,157653,157606,42.4,54.7,16.4,0,0.1,0.2,2.9,0,99.6,1.4,0,153084,86205,25858,37,124,281,4522,49,157000,2136,0,66879,86205,37,87,157,4241,42.4,54.7,0,0.1,0.1,2.7
E07000217,WOKING,44947,44934,16.6,81.5,3.4,0,0.3,0.4,2,0.1,99.3,0,0,44052,36613,1512,0,144,170,882,24,44615,0,0,7439,36613,0,144,26,712,16.6,81.5,0,0.3,0.1,1.6
E06000041,WOKINGHAM,75522,74652,40.7,50.4,7.2,0,0.3,1.4,7.8,1.2,95.2,0,0,68785,38071,5401,22,230,1060,5867,888,71863,0,0,30714,38071,22,208,830,4807,40.7,50.4,0,0.3,1.1,6.4
E08000031,WOLVERHAMPTON,117996,117880,14.9,83.2,1,0,0,0.3,1.8,0.1,98.4,0,0,115700,98177,1128,0,4,297,2180,116,116093,0,0,17523,98177,0,4,293,1883,14.9,83.2,0,0,0.2,1.6
E07000237,WORCESTER,48646,48607,91.6,6.6,1.2,0,0,0,1.8,0.1,99.6,43,4.6,47737,3191,599,0,1,11,870,38,48436,20925,2229,44546,3191,0,1,10,859,91.6,6.6,0,0,0,1.8
E07000229,WORTHING,51419,51413,22.2,77.1,1.7,0,0,0,0.6,0,99.7,0,0,51090,39664,886,0,1,7,323,5,51289,0,0,11426,39664,0,1,6,316,22.2,77.1,0,0,0,0.6
W06000006,WREXHAM,65697,65105,66.4,27.1,26.6,0.4,0.9,1.8,5.6,0.6,97.3,38.9,8.4,61407,17808,17476,233,618,1151,3698,427,63921,25576,5532,43599,17808,233,385,533,2547,66.4,27.1,0.4,0.6,0.8,3.9
E07000238,WYCHAVON,62475,62114,82.9,8.6,5.1,0.2,0.9,2,8,0.9,97.8,9.3,1.4,57130,5352,3162,129,553,1223,4984,555,61070,5827,848,51778,5352,129,424,670,3761,82.9,8.6,0.2,0.7,1.1,6
E07000007,WYCOMBE,76433,76345,68.5,26.5,2.2,0.1,0.6,1,4.9,0.3,99.2,0,0,72564,20219,1664,90,489,731,3781,219,75802,0,0,52345,20219,90,399,242,3050,68.5,26.5,0.1,0.5,0.3,4
E07000128,WYRE,56343,56280,88.4,5.9,5.5,0.1,0.3,0.7,5.5,0.1,98.8,7.3,1.4,53173,3340,3108,69,183,382,3107,71,55673,4110,775,49833,3340,69,114,199,2725,88.4,5.9,0.1,0.2,0.4,4.8
E07000239,WYRE FOREST,48100,48061,49.3,46.7,0.9,0.3,0.6,1.4,3.9,0.5,99.4,2.9,0.4,46203,22479,420,140,291,662,1858,264,47829,1412,172,23724,22479,140,151,371,1196,49.3,46.7,0.3,0.3,0.8,2.5
E06000014,YORK,98735,98548,23,70.8,43.6,0,0.3,0.6,6,0.2,95.6,7,3.9,92626,69871,43077,36,261,629,5922,191,94419,6956,3811,22755,69871,36,225,368,5293,23,70.8,0,0.2,0.4,5.4
