laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000076,TENDRING,73359,73335,89.1,3.1,3.1,0.6,1.8,2.8,7.8,0.3,96.9,0,0,67646,2260,2251,440,1306,2083,5689,242,71084,0,0,65386,2260,440,866,777,3606,89.1,3.1,0.6,1.2,1.1,4.9
E07000093,TEST VALLEY,58215,58173,34,58.1,11.6,0.3,1.3,3,7.9,0.9,98.2,0,0,53601,33834,6734,195,754,1724,4572,549,57140,0,0,19767,33834,195,559,970,2848,34,58.1,0.3,1,1.7,4.9
E07000083,TEWKESBURY,46018,45890,38.9,49.1,19.1,0.3,1.9,3.6,11.8,0.9,90,8.5,1.3,40479,22590,8774,123,863,1674,5411,401,41414,3907,593,17889,22590,123,740,811,3737,38.9,49.1,0.3,1.6,1.8,8.1
E07000114,THANET,72174,72040,53.8,43.3,43.2,0,0.2,1,2.7,0.2,99.3,0,0,70096,31233,31198,15,160,722,1944,159,71697,0,0,38863,31233,15,145,562,1222,53.8,43.3,0,0.2,0.8,1.7
E07000102,THREE RIVERS,39333,39329,24.3,71.9,1.4,0.1,0.3,0.6,3.8,0.1,99.5,0,0,37850,28285,537,56,121,230,1479,27,39153,0,0,9565,28285,56,65,109,1249,24.3,71.9,0.1,0.2,0.3,3.2
E06000034,THURROCK,71588,71580,23.8,71.4,6,0,0.5,1.9,4.8,0.1,97,0,0,68161,51116,4284,30,356,1386,3419,98,69453,0,0,17045,51116,30,326,1030,2033,23.8,71.4,0,0.5,1.4,2.8
E07000115,TONBRIDGE AND MALLING,56607,56577,40.5,53.8,6.9,0.2,0.6,1.5,5.7,0.2,98.4,0,0,53362,30464,3927,135,328,849,3215,130,55725,0,0,22898,30464,135,193,521,2366,40.5,53.8,0.2,0.3,0.9,4.2
E06000027,TORBAY,78621,78361,38.4,55,14.8,0,0,0.7,6.3,0.4,95.7,1.6,0,73420,43208,11629,15,28,542,4941,278,75274,1270,0,30212,43208,15,13,514,4399,38.4,55,0,0,0.7,5.6
W06000020,TORFAEN,45613,45583,60.2,35.3,6.2,0.1,0.3,1,4.5,0.1,97.3,57.3,45.9,43542,16089,2807,38,140,440,2041,60,44374,26115,20947,27453,16089,38,102,300,1601,60.2,35.3,0.1,0.2,0.7,3.5
E07000046,TORRIDGE,34132,34056,77.7,3.4,3.4,2.7,7.4,11.6,18.6,2.8,92.8,27.3,14.4,27696,1170,1170,920,2510,3945,6360,971,31673,9321,4920,26526,1170,920,1590,1435,2415,77.7,3.4,2.7,4.7,4.2,7.1
E09000030,TOWER HAMLETS,141361,140781,29.8,60,32.3,0,0,0.6,9.7,0.4,89.9,0,0,127036,84864,45649,0,33,786,13745,553,127073,0,0,42172,84864,0,33,753,12959,29.8,60,0,0,0.5,9.2
E08000009,TRAFFORD,107154,106903,32.4,65.2,2.1,0,0.4,0.5,2.2,0.3,98.8,1.5,0,104593,69831,2236,53,427,534,2310,274,105907,1658,0,34762,69831,53,374,107,1776,32.4,65.2,0,0.3,0.1,1.7
E07000116,TUNBRIDGE WELLS,52025,51999,45.1,45.8,6.8,0.1,1.2,2.9,9.1,1,98.3,0,0,47266,23814,3513,64,629,1530,4733,516,51148,0,0,23452,23814,64,565,901,3203,45.1,45.8,0.1,1.1,1.7,6.2
E07000077,UTTLESFORD,39844,39786,59.8,24.3,7.3,0.5,2.1,5.9,15.8,1.5,91.6,0,0,33496,9688,2904,200,840,2363,6290,609,36509,0,0,23808,9688,200,640,1523,3927,59.8,24.3,0.5,1.6,3.8,9.9
W06000014,VALE OF GLAMORGAN,61713,61663,43.9,51.6,5.3,0.3,1,1.6,4.5,0.6,97.9,11.5,6.2,58916,31823,3272,189,628,987,2747,368,60393,7117,3823,27093,31823,189,439,359,1760,43.9,51.6,0.3,0.7,0.6,2.9
E07000180,VALE OF WHITE HORSE,61272,61238,37,58.5,14.9,0.2,0.4,1.1,4.4,0.2,98.7,0,0,58539,35841,9117,105,258,648,2699,125,60491,0,0,22698,35841,105,153,390,2051,37,58.5,0.2,0.2,0.6,3.3
E08000036,WAKEFIELD,160740,160288,51.5,43.2,12.6,0.1,0.5,0.9,5,0.3,97.6,0.4,0,152195,69389,20271,82,725,1502,8093,513,156807,632,0,82806,69389,82,643,777,6591,51.5,43.2,0.1,0.4,0.5,4.1
E08000030,WALSALL,119420,119389,35.5,63.1,10.5,0,0,0.4,1.4,0,99.3,0,0,117743,75311,12503,4,26,525,1646,28,118555,0,0,42432,75311,4,22,499,1121,35.5,63.1,0,0,0.4,0.9
E09000031,WALTHAM FOREST,109981,109483,10.6,86.1,20,0,0,0.4,2.8,0.5,96.9,0,0,106436,94740,22024,6,27,458,3047,515,106532,0,0,11696,94740,6,21,431,2589,10.6,86.1,0,0,0.4,2.4
E09000032,WANDSWORTH,154914,154654,22.6,74.1,19.9,0,0,0.1,3.1,0.2,96.8,0,0,149866,114855,30905,0,15,189,4788,267,149912,0,0,35011,114855,0,15,174,4599,22.6,74.1,0,0,0.1,3
E06000007,WARRINGTON,98422,98330,39.4,57.6,1.1,0,0.1,0.2,3,0.1,99.3,0.6,0,95415,56661,1041,41,114,220,2915,110,97779,571,34,38754,56661,41,73,106,2695,39.4,57.6,0,0.1,0.1,2.7
