Region,Area,2016 SFBB availability (% premises),2016 UFBB availability (% premises),2017 SFBB availability (% premises),2017 UFBB availability (% premises),2018 SFBB availability (% premises),2018 UFBB availability (% premises),2019 SFBB availability (% premises),2019 UFBB availability (% premises),2020 SFBB availability (% premises),2020 UFBB availability (% premises),2021 SFBB availability (% premises),2021 UFBB availability (% premises),2016,2017,2018,2019,2020,2021
East Midlands,AMBER VALLEY,87.0,0.0,87.0,1.0,70.2,22.0,67.4,25.3,93.3,25.5,95.3,27.3,27832.0,30031.0,29696.0,29602.0,33614.0,31174.0
East Midlands,ASHFIELD,97.0,0.0,98.0,0.0,9.5,89.3,14.6,83.7,98.5,85.3,98.2,86.2,24258.0,24664.0,25348.0,26074.0,26446.0,27366.0
East Midlands,BLABY,96.0,0.0,28.0,68.0,35.6,61.3,33.5,64.2,97.8,67.8,97.7,70.2,30372.0,30294.0,29618.0,30834.0,35234.0,29137.0
East Midlands,BOLSOVER,90.0,0.0,91.0,0.0,65.4,27.7,66.1,27.4,94.2,28.8,94.8,37.4,24659.0,23587.0,24912.0,25781.0,27576.0,26718.0
East Midlands,BOSTON,83.0,0.0,86.0,0.0,86.2,0.8,86.9,2.7,90.9,3.6,91.0,4.5,21837.0,21089.0,21491.0,22459.0,24275.0,24655.0
East Midlands,BROXTOWE,98.0,0.0,16.0,83.0,8.6,90.9,9.5,89.5,99.1,89.5,98.8,90.4,30678.0,29428.0,29195.0,31669.0,31847.0,32458.0
East Midlands,CHARNWOOD,96.0,0.0,43.0,53.0,50.2,47.4,27.6,70.4,97.9,70.9,97.3,69.5,28462.0,27279.0,29660.0,31622.0,30232.0,29279.0
East Midlands,CHESTERFIELD,92.0,0.0,94.0,0.0,64.3,31.6,62.5,33.8,96.7,36.7,97.1,52.8,25775.0,25843.0,26008.0,26551.0,27590.0,26646.0
East Midlands,DERBY,95.0,0.0,26.0,71.0,21.5,77.7,11.8,87.3,99.2,87.8,98.7,88.8,28376.0,28633.0,31954.0,30365.0,31465.0,30739.0
East Midlands,DERBYSHIRE DALES,68.0,0.0,77.0,1.0,78.9,3.7,79.9,5.2,87.4,6.4,89.3,8.4,31058.0,31356.0,30906.0,31887.0,35011.0,28282.0
East Midlands,EAST LINDSEY,79.0,0.0,78.0,2.0,76.4,8.4,73.4,12.7,86.9,14.0,87.7,15.3,25017.0,24468.0,25676.0,25659.0,26304.0,25737.0
East Midlands,EREWASH,97.0,0.0,29.0,69.0,23.5,74.7,24.3,73.6,98.0,74.3,98.0,75.2,26940.0,26863.0,27622.0,29222.0,29529.0,30255.0
East Midlands,GEDLING,98.0,0.0,77.0,21.0,19.2,79.7,11.5,87.4,99.1,88.0,98.7,86.4,27746.0,27680.0,28628.0,29339.0,30042.0,30372.0
East Midlands,HARBOROUGH,87.0,2.0,69.0,22.0,65.3,28.5,61.4,33.2,94.7,34.2,94.8,33.8,33032.0,36117.0,35000.0,34701.0,36747.0,36004.0
East Midlands,HIGH PEAK,83.0,0.0,86.0,0.0,87.3,1.5,86.0,4.0,91.6,6.8,92.6,7.6,25429.0,28654.0,28246.0,27581.0,29357.0,28665.0
East Midlands,HINCKLEY AND BOSWORTH,92.0,0.0,88.0,5.0,32.2,63.1,36.6,58.5,95.3,60.8,96.1,62.0,26085.0,27384.0,28713.0,29453.0,29174.0,30866.0
East Midlands,LEICESTER,93.0,0.0,16.0,78.0,22.2,76.5,14.3,84.8,99.1,88.4,98.8,91.2,21996.0,21830.0,22189.0,23748.0,24711.0,25355.0
East Midlands,LINCOLN,98.0,0.0,21.0,77.0,20.7,78.1,18.4,79.9,98.3,79.9,98.0,80.2,24465.0,23272.0,24908.0,26326.0,28777.0,25632.0
East Midlands,MELTON,84.0,0.0,88.0,1.0,43.2,50.1,47.9,45.6,93.6,46.0,93.3,46.1,25468.0,26815.0,27112.0,26209.0,27673.0,24017.0
East Midlands,NEWARK AND SHERWOOD,88.0,0.0,91.0,1.0,41.2,53.1,43.9,51.4,95.6,51.5,95.1,54.1,25125.0,24785.0,27562.0,26578.0,30703.0,30437.0
East Midlands,NORTH WEST LEICESTERSHIRE,92.0,0.0,34.0,58.0,52.9,42.6,29.9,65.3,95.4,63.0,96.4,67.5,25975.0,26638.0,29870.0,30092.0,30209.0,31381.0
East Midlands,NOTTINGHAM,94.0,2.0,20.0,76.0,23.5,74.6,9.1,88.0,97.0,88.0,98.2,91.0,23360.0,23493.0,23293.0,25078.0,25216.0,25196.0
East Midlands,RUSHCLIFFE,92.0,0.0,31.0,63.0,34.6,61.7,28.7,67.9,96.9,68.4,97.1,72.1,35113.0,36520.0,34891.0,35545.0,35262.0,34425.0
East Midlands,RUTLAND,79.0,6.0,82.0,8.0,82.2,8.3,81.4,10.0,93.4,11.3,91.7,12.8,27953.0,28814.0,27880.0,30175.0,32489.0,32597.0
East Midlands,SOUTH DERBYSHIRE,84.0,0.0,83.0,3.0,77.8,13.5,73.8,17.4,92.6,22.0,93.6,31.4,29290.0,30028.0,32974.0,32047.0,35269.0,32744.0
East Midlands,SOUTH HOLLAND,78.0,0.0,80.0,1.0,81.0,3.0,80.9,5.9,88.0,7.2,88.5,8.9,25292.0,24936.0,25781.0,26830.0,30182.0,30880.0
East Midlands,WEST LINDSEY,85.0,0.0,74.0,11.0,73.0,12.7,59.6,25.3,85.3,29.4,85.5,31.5,25486.0,27959.0,29330.0,29789.0,30286.0,31829.0
London,BARKING AND DAGENHAM,95.0,3.0,16.0,81.0,28.8,70.7,8.9,89.4,98.9,90.5,98.7,89.8,28012.0,30200.0,29313.0,29363.0,32852.0,32931.0
London,BARNET,92.0,2.0,62.0,34.0,54.1,42.6,45.9,51.2,97.3,53.3,97.2,57.0,33443.0,37340.0,35645.0,36292.0,36411.0,35716.0
London,BEXLEY,93.0,1.0,27.0,67.0,20.2,77.0,21.6,74.7,96.6,75.4,97.1,78.7,34109.0,33453.0,34857.0,36932.0,39912.0,37572.0
London,BRENT,91.0,2.0,53.0,42.0,35.8,61.7,41.4,55.6,96.7,59.6,96.7,71.8,29589.0,30347.0,30335.0,31746.0,34172.0,33805.0
London,BROMLEY,96.0,0.0,47.0,50.0,22.8,75.3,16.1,81.2,97.5,85.1,97.6,86.3,37657.0,40184.0,40000.0,41008.0,43704.0,41170.0
London,CAMDEN,94.0,1.0,94.0,3.0,14.6,82.7,13.1,82.3,95.4,85.8,95.9,87.0,39810.0,39537.0,41691.0,42416.0,41848.0,39994.0
London,CROYDON,91.0,4.0,28.0,67.0,18.7,78.3,24.0,71.7,96.0,75.7,96.0,83.6,32523.0,33541.0,35861.0,35172.0,37570.0,36347.0
London,EALING,94.0,2.0,46.0,51.0,34.8,63.8,31.1,67.2,98.4,70.9,98.0,73.6,31237.0,32929.0,33019.0,31769.0,36482.0,34190.0
London,ENFIELD,97.0,0.0,46.0,52.0,35.0,63.7,19.7,77.6,96.9,79.1,96.8,86.3,30843.0,30920.0,30919.0,32997.0,33088.0,35586.0
London,GREENWICH,89.0,6.0,70.0,27.0,32.5,65.8,22.5,75.4,97.9,76.7,98.0,77.8,32433.0,33145.0,35988.0,35953.0,36670.0,35598.0
London,HACKNEY,90.0,3.0,42.0,53.0,31.6,65.7,28.1,69.1,97.2,69.6,96.5,71.1,32211.0,34816.0,33652.0,35974.0,37440.0,36351.0
London,HAMMERSMITH AND FULHAM,84.0,5.0,64.0,28.0,36.6,57.6,41.7,52.3,94.1,54.6,93.4,56.6,38009.0,40092.0,39420.0,42104.0,41267.0,39430.0
London,HARINGEY,95.0,1.0,21.0,77.0,14.2,84.8,16.0,82.2,98.3,82.5,98.3,83.8,30754.0,32965.0,33254.0,35757.0,35653.0,35963.0
London,HARROW,96.0,1.0,27.0,70.0,29.9,68.0,21.3,76.0,97.3,76.5,97.6,76.7,33400.0,34219.0,35000.0,35325.0,38347.0,38827.0
London,HAVERING,96.0,1.0,17.0,80.0,19.3,79.1,16.5,79.9,95.7,82.1,95.7,80.3,33234.0,32986.0,34145.0,33892.0,36017.0,35885.0
London,HILLINGDON,95.0,0.0,13.0,82.0,9.3,88.3,13.0,82.8,96.0,83.6,96.0,84.7,33500.0,31618.0,30605.0,31340.0,35155.0,35695.0
London,HOUNSLOW,93.0,3.0,18.0,78.0,19.2,79.2,13.4,84.1,97.6,84.0,97.3,85.9,30901.0,31792.0,32162.0,34682.0,34804.0,32516.0
London,ISLINGTON,89.0,3.0,31.0,65.0,17.4,78.2,18.5,75.7,94.5,76.5,94.6,80.1,36635.0,37972.0,45000.0,43715.0,46706.0,42786.0
