laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E06000040,WINDSOR AND MAIDENHEAD,67606,67427,94.2,61.9,57.4,5.0,5.0,0.2,0.4,1.0,5.5,0.3,97.7,0.0,63707,41853,38824,3396,3397,124,287,696,3720,200,66061,0,24883,38824,124,163,409,3024,36.8,57.4,0.2,0.2,0.6,4.5
E08000015,WIRRAL,158330,158075,97.9,72.7,72.5,46.6,46.6,0.0,0.1,0.2,1.9,0.1,99.5,0.0,155081,115116,114814,73757,73759,45,116,244,2994,136,157510,0,40267,114814,45,71,128,2750,25.4,72.5,0.0,0.0,0.1,1.7
E07000217,WOKING,45400,45189,98.0,84.7,81.1,3.7,3.7,0.0,0.3,0.3,1.6,0.2,99.1,0.0,44482,38462,36801,1663,1663,1,141,157,707,108,44975,0,7681,36801,1,140,16,550,16.9,81.1,0.0,0.3,0.0,1.2
E06000041,WOKINGHAM,76006,74935,94.1,70.4,67.2,13.1,65.3,0.1,0.3,0.8,4.5,1.4,96.4,0.0,71543,53509,51078,9969,49657,69,194,587,3392,1073,73234,0,20465,51078,69,125,393,2805,26.9,67.2,0.1,0.2,0.5,3.7
E08000031,WOLVERHAMPTON,117775,117423,98.1,89.4,83.1,5.8,6.0,0.0,0.1,0.2,1.6,0.2,98.5,5.0,115512,105245,97915,6810,7038,1,94,290,1911,275,115994,5938,17597,97915,1,93,196,1621,14.9,83.1,0.0,0.1,0.2,1.4
E07000237,WORCESTER,48778,48568,98.6,21.5,10.3,2.5,2.5,0.0,0.0,0.1,1.0,0.2,99.2,0.1,48075,10506,5001,1232,1232,0,1,28,493,106,48378,49,43074,5001,0,1,27,465,88.3,10.3,0.0,0.0,0.1,1.0
E07000229,WORTHING,51710,51655,99.3,92.9,92.4,52.1,52.1,0.0,0.0,0.0,0.6,0.1,99.7,0.0,51342,48017,47763,26953,26953,2,4,9,313,40,51562,0,3579,47763,2,2,5,304,6.9,92.4,0.0,0.0,0.0,0.6
W06000006,WREXHAM,65902,65108,94.1,39.8,39.1,38.8,38.8,0.3,1.0,2.0,4.7,1.5,96.7,43.9,62040,26250,25793,25575,25575,202,676,1290,3068,978,63726,28921,36247,25793,202,474,614,1778,55.0,39.1,0.3,0.7,0.9,2.7
E07000238,WYCHAVON,62691,62239,93.8,20.3,16.3,9.1,9.2,0.2,0.8,1.4,5.5,0.8,98.3,0.4,58774,12727,10233,5678,5784,108,507,877,3465,487,61650,224,48541,10233,108,399,370,2588,77.4,16.3,0.2,0.6,0.6,4.1
E07000128,WYRE,56708,56482,94.7,29.0,29.0,28.6,28.6,0.1,0.3,0.8,4.9,0.3,98.2,0.3,53724,16472,16467,16215,16215,50,195,433,2758,154,55681,187,37257,16467,50,145,238,2325,65.7,29.0,0.1,0.3,0.4,4.1
E07000239,WYRE FOREST,48306,48091,96.6,48.1,47.7,2.1,47.7,0.2,0.5,0.8,2.9,0.4,99.2,3.5,46678,23236,23046,1035,23045,106,231,395,1413,194,47934,1675,23632,23046,106,125,164,1018,48.9,47.7,0.2,0.3,0.3,2.1
E06000014,YORK,96063,95484,94.1,76.6,73.4,58.2,58.2,0.0,0.2,0.7,5.3,0.3,95.8,3.7,90353,73628,70543,55942,55942,40,187,687,5131,299,91992,3521,19810,70543,40,147,500,4444,20.6,73.4,0.0,0.2,0.5,4.6
